Character,Sentence
Hagrid," How often do you come across a three headed dog, even if you're in the trade? "
Hagrid,"But I told him. I said, ""The trick with any beast is to know how to calm him."
Hagrid," Take Fluffy, for example, just play him a bit of music and he falls straight to sleep."""
Hagrid,  I shouldn't have told you that.
Hagrid, Where you going?! Wait!
Harry," We have to see Professor Dumbledore, immediately!"
Mcgonagall,I'm afraid Professor Dumbledore is not here. 
Mcgonagall,He received an urgent owl from the Ministry of Magic and left immediately for London.
Harry,He's gone?! Now? 
Harry,But this is important! 
Harry,It's about...the Sorcerer's Stone.
Mcgonagall,How do you know?
Harry,Someone's going to try and steal it.
Mcgonagall,"I don't know how you three found out about the stone, but I can assure you it is perfectly well-protected. "
Mcgonagall,Now would you go back to your dormitories? Quietly. 
Harry,That was no stranger Hagrid met in the village. 
Harry,"It was Snape, which means he knows how to get past Fluffy."
Hermione, And with Dumbledore gone
Snape, Good afternoon. 
Snape,"Now, what would three young Gryffindors such as yourselves be doing inside on a day like this?"
Hermione,Uh...we were just...
Snape,You want to be careful.
Snape,People will think you're up to something.
Hermione,Now what do we do?
Harry,We go down the trapdoor. Tonight.
Harry,Trevor.
Ron,Trevor shh!
Ron,"Go, you shouldn't be here!"
Neville,Neither should you. 
Neville,"You're sneaking out again, arent you?"
Harry,"Now, Neville, listen. We were"
Neville,No! I won't let you!
Neville, You'll get Gryffindor in trouble again!
Neville, I-I'll fight you.
Hermione," Neville, I'm really, really sorry about this"
Hermione, Petrificus Totalus.
Ron,You're a little scary sometimes...you know that? 
Ron,"Brilliant, but scary."
Harry, Let's go. Sorry.
Hermione,Sorry.
Ron,"It's for your own good, you know."
Hermione,Ow! You stood on my foot!
Ron,Sorry.
Hermione,Alohomora.
Ron,Wait a minute...he's.... 
Harry,Snoring
Harry,Snape's already been here. 
Harry,He's put a spell on the harp.
Ron,Uh. It's got horrible breath!
Harry,We have to move its paw.
Ron,What?!
Harry,Come on! Okay. Push! 
Harry,I'll go first. 
Harry,Don't follow until I give you a sign.
Harry,"If something bad happens, get yourselves out…"
Harry,Does it seem a bit...quiet to you?
Hermione,The harp. It stopped playing.
Ron,Ew! Yuck! Ugh. 
Harry,Jump! Go! 
Ron,Ahh! Whoa. 
Ron,"Lucky this plant-thing is here, really."
Harry,Whoa! Oh. Ahh!
Hermione,"Stop moving, both of you. "
Hermione,This is Devil's Snare. 
Hermione,You have to relax. 
Hermione,"If you don't, it will only kill you faster."
Ron,Kill us faster?! 
Ron,"Oh, now I can relax!"
Ron and harry,  Hermione!!
Ron,Now what are we gonna do?!
Hermione,Just relax!
Harry,Hermione! Where are you?!
Hermione,Do what I say. Trust me. 
Ron,Ahh! Harry!
Ron,Harry!
Hermione,Are you okay?
Harry,"Yeah, yeah, I'm fine."
Ron,Help!
Hermione,"He's not relaxing, is he?"
Harry,Apparently not.
Ron,Help! Help me!
Hermione,We've got to do something!
Harry,What?
Hermione,Uh! I remember reading something in Herbology. 
Ron,Help!
Hermione,"Um Devil's Snare, Devil's Scare,it's deadly fun...but will sulk in the sun! "
Hermione,That's it! Devil's Snare hates sunlight!
Hermione,Lumus Solem!
Ron,Ahhh!
Harry,"Ron, are you okay?"
Ron,Yeah.
Harry,Okay.
Ron,Whew. Lucky we didn't panic!
Harry,Lucky Hermione pays attention in Herbology.
Hermione,What is that?
Harry,I don't know. 
Harry,Sounds like wings.
Hermione,Curious. I've never seen birds like these.
Harry,"They're not birds, they're keys. "
Harry,And I'll bet one of them fits that door. 
Hermione,What's this all about?
Harry,I don't know. Strange.
Ron,Alohomora! 
Ron,"Well, it was worth a try."
Hermione,Ugh! What're we going to do? 
Hermione,There must be 1000 keys up there!
Ron,We're looking for a big old fashioned one. 
Ron,Probably rusty like the handle.
Harry,There! I see it!
Harry,The one with the broken wing!
Hermione,"What's wrong, Harry?"
Harry,It's too simple.
Ron,"Oh, go on, Harry! "
Ron,"If Snape can catch it on that old broomstick, you can! "
Ron,You're the youngest seeker in a century!
Ron,This complicates things a bit!
Harry,Catch the key!
Ron,Hurry up!
Hermione,I don't like this. 
Hermione,I don't like this at all.
Harry,Where are we? A graveyard.
Ron,This is no graveyard. 
Ron,It's a chessboard.
Harry,There's the door.
Hermione,Now what do we do?
Ron," It's obvious, isn't it? "
Ron,We've got to play our way across the room. 
Ron,"All right. Harry, you take the empty Bishop's square. "
Ron,"Hermione, you'll be the Queen's side castle. "
Ron,"As for me, I'll be a knight."
Hermione,What happens now?
Ron,"Well, white moves first, and then...we play. "
Hermione,"Ron, you don't suppose this is going to be like...real wizard's chess, do you?"
Ron,You there! D-5! 
Ron,"Yes, Hermione, I think this is going to be exactly like wizard's chess!"
Ron,Castle to E-4!  
Ron,Pawn to C-3!
Harry,Wait a minute.
Ron,"You understand right, Harry. "
Ron,"Once I make my move, the Queen will take me...then you'll be free to check the King."
Harry,"No, Ron! No!"
Hermione, What is it?
Harry,He's going to sacrifice himself!
Hermione,"No, Ron, you can't!"
Hermione,There must be another way!
Ron,Do you want to stop Snape from getting that Stone or not?
Ron,"Harry, it's you that has to go on. I know it. "
Ron,"Not me, not Hermione, you. "
Ron,Knight...to H-3.
Ron,Check.
Ron,Ahhhh!
Harry,RON! 
Harry,"NO! Don't move! Dont forget, we're still playing. "
Harry,Checkmate. 
Harry,"Take care of Ron. Then, go to the owlery. "
Harry,Send a message to Dumbledore. 
Harry,Ron's right...I have to go on.
Hermione,"You'll be okay, Harry. "
Hermione,"You're a great wizard, you really are."
Harry,Not as good as you.
Hermione,Me? Books and cleverness? 
Hermione,There are more important things. 
Hermione,"Friendship, and bravery. "
Hermione,"And Harry, just be careful."
Harry,You? No. It can't be...Snape. He was the one
Quirrell,"Yes. He does seem the type, doesn't he? "
Quirrell,"Next to him, who would suspect, ""p-p-poor s-stuttering Professor Quirrell?"""
Harry,"B-but, that day, during the Quidditch Match, Snape tried to kill me."
Quirrell,"No, dear boy. I tried to kill you! "
Quirrell,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. "
Quirrell,Even with Snape muttering his little counter-curse.
Harry,Snape was trying to...save me?
Quirrell,I knew you were a danger right from the off. 
Quirrell,Especially after Halloween.
Harry,Th-then you let the troll in.
Quirrell,"Very good Potter, yes. "
Quirrell,"Snape, unfortunately, wasn't fooled. "
Quirrell,"While everyone else was running to the dungeon, he went to the 3rd floor to head me off. "
Quirrell,"He, of course, never trusted me again."
Quirrell,He rarely left me alone. 
Quirrell,But he doesn't understand. 
Quirrell,I'm never alone. Never. 
Quirrell,Now...what does this mirror do? 
Quirrell,I see what I desire. 
Quirrell,I see myself holding the stone. 
Quirrell,But how do I get it?
Voldemort,Use the boy
Quirrell,"Come here, Potter, now!"
Quirrell,Tell me. What do you see?
Quirrell,What is it?! What do you see?!
Harry,I-I'm shaking hands with Dumbledore. 
Harry,I've won the house cup.
Voldemort,He lies.
Quirrell,Tell the truth! What do you see?!
Voldemort,Let me speak to him.
Quirrell,"Master, you are not strong enough."
Voldemort,I have strength enough for this. 
Voldemort,Harry Potter. We meet again.
Harry,Voldemort.
Voldemort,Yes. You see what I have become? 
Voldemort,See what I must do to survive? 
Voldemort,Live off another. A mere parasite. 
Voldemort,"Unicorn blood can sustain me, but it cannot give me a body of my own. "
Voldemort,But there is something that can. 
Voldemort,"Something, that conveniently enough, lies in your pocket!"
Voldemort,Stop him! 
Voldemort,Don't be a fool! 
Voldemort,Why suffer a horrific death when you can join me and live?!
Harry,Never!
Voldemort,Haha. Bravery. Your parents had it too. 
Voldemort,"Tell me, Harry, would you like to see your mother and father again? "
Voldemort,"Together, we can bring them back. "
Voldemort,All I ask for is something in return. 
Voldemort,"That's it, Harry. "
Voldemort,There is no good and evil. 
Voldemort,"There is only power, and those too weak to seek it. "
Voldemort,"Together, we'll do extraordinary things. "
Voldemort,Just give me the stone! 
Harry,You liar!
Voldemort,Kill him!
Quirrell,Ahh! Ahh! What is this magic?
Voldemort,Fool! Get the stone!
Quirrell,Ahhhhhhhhhh!
Voldemort,Arrrhhhhhh!
Harry,Ahhhhhhhhh!
Dumbledore,"Good afternoon, Harry. "
Dumbledore,Ah. Tokens from your admirers?
Harry,Admirers?
Dumbledore,"What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. "
Dumbledore,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs."
Harry,Ron was here? 
Harry,Is he all right? 
Harry,What about Hermione?
Dumbledore,Fine. They're both just fine.
Harry,"But, what happened to the Stone?"
Dumbledore,"Relax, dear boy. The stone has been destroyed. "
Dumbledore,My friend Nicholas and I had a little chat and agreed it was best all around.
Harry,"But Flamel, he'll die, won't he?"
Dumbledore,He has enough Elixir to set his affairs in order. 
Dumbledore,"But yes, he will die."
Harry,"How is it I got the Stone, sir? "
Harry,"One minute I was staring in the mirror, and the next..."
Dumbledore,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. "
Dumbledore,That is one of my more brilliant ideas. 
Dumbledore,And between you and me thats saying something.
Harry,"Does that mean, with the Stone gone, I mean, that Voldemort can never come back?"
Dumbledore,"Ah, I'm afraid there are ways in which he can return. "
Dumbledore,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?"
Dumbledore,It was because of your mother. 
Dumbledore,"She sacrificed herself for you, and that kind of act leaves a mark. "
Dumbledore,"No, no, this kind of mark cannot be seen."
Dumbledore,It lives in your very skin.
Harry,What is it?
Dumbledore,"Love, Harry, love. "
Dumbledore,Ah. Bertie Bott's Every Flavour Beans. 
Dumbledore,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. "
Dumbledore,But I think I could be safe with a nice toffee...
Dumbledore,Mm. Alas. Earwax.
Harry,"All right there, Ron?"
Ron,All right? You?
Harry,All right. Hermione?
Hermione,Never better.
Dumbledore,Another year gone. 
Dumbledore,"And now, as I understand it, the house cup needs awarding, and the points stand thus. "
Dumbledore,"In fourth place, Gryffindor with 312 points. "
Dumbledore,"Third place, Hufflepuff, with 352 points. "
Dumbledore,"In second place, Ravenclaw, with 426 points"
Dumbledore,"And in first place, with 472 points, Slytherin House."
Students,Whoo! Yeah!
Malfoy,"Nice one, Mate! "
Dumbledore,"Yes, yes, well done Slytherin, well done Slytherin. "
Dumbledore,"However, recent events must be taken into account. "
Dumbledore,And I have a few last minute points to award. 
Dumbledore,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. "
Harry,Good job.
Dumbledore,"Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. "
Dumbledore,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. "
Hermione,We're tied with Slytherin!
Dumbledore,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. "
Dumbledore,I award 10 points to Neville Longbottom.
Dumbledore,"Assuming that my calculations are correct, I believe that a change of direction is in order. "
Dumbledore,Gryffindor wins the House Cup!
Hagrid,Yes!
Seamus,Yeah! We won!!
Hagrid,"Come on now, hurry up. You'll be late. "
Hagrid,Train's leaving. 
Hagrid,Go on. Go on. Come on. Hurry up.
Hermione,"Come on, Harry."
Harry,One minute. 
Hagrid,"Thought you were leaving without saying good-bye, didja? "
Hagrid,This is for you.
Harry,"Thanks, Hagrid. "
Hagrid,Oh. Go on...on with you. 
Hagrid,"Oh, listen, Harry, if that dolt of a cousin of yours, Dudley, gives you any grief, you could always, um, threaten him with a nice pair of ears to go with that tail of his."
Harry,"But Hagrid, we're not allowed to do magic away from Hogwarts. You know that."
Hagrid,"I do. But your cousin don't, do he? Eh? Off you go."
Hermione,"Feels strange to be going home, doesn't it?"
Harry,I'm not going home. Not really.
Harry,"I can’t let you out, Hedwig. "
Harry,I’m not allowed to use magic outside of school. 
Harry,"Besides, if Uncle Vernon…"
Vernon,Harry Potter!
Harry,Now you’ve done it.
Petunia,He’s in there. Vernon...
Uncle vernon,"I’m warning you, if you can’t control that bloody bird it’ll have to go."
Harry,But she’s bored! 
Harry,If I could only let out for an hour or two
Vernon,"Huh, huh! So you could send secret messages to you freaky little friends. No, sir!"
Harry,But I haven’t had any messages from any of my friends... not one… all summer.
Dudley,Who’d want to be friends with you?
Uncle vernon,I should think you’d be a little more grateful. 
Uncle vernon,"We’ve raised you since you were a baby, given you the food off our table, even let you have Dudley’s second bedroom, purely out of the goodness of our hearts."
Aunt petunia,"Not now, Pupkins. For when the Masons arrive."
Uncle vernon,Which should be any minute! 
Uncle vernon,"Ahem...Now let’s go over our schedule once again, shall we? "
Uncle vernon,Petunia when the Masons arrive you will be...?
Aunt petunia,"in the lounge, waiting to welcome them graciously into our home."
Uncle vernon,"Good! And- and Dudley, you will be...?"
Dudley,I’ll be waiting to open the door!
Uncle vernon,Excellent! ...And you...?
Harry,"I’ll be in my bedroom, making no noise and pretending that I don’t exist."
Uncle vernon,"Too right, you will. "
Uncle vernon,"With any luck, this could well be the day I make the biggest deal of my career. "
Uncle vernon,And you will not mess it up!
Uncle vernon,Mr. and Mrs. Mason! Do come in!
Dobby,"Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha! "
Dobby,Harry Potter! Such an honor it is!
Harry,Who are you?
Dobby,"Dobby sir, Dobby the house elf."
Harry,"Not to be to be rude or anything, but this isn’t a great time for me to have a house elf in my bedroom."
Dobby,"Oh, oh yes, sir! Dobby understands! "
Dobby,"It’s just that, Dobby has come to tell you- it is difficult, sir"
Dobby, Dobby wonders where to begin?
Harry,Why don’t you sit down?
Dobby,S-sit down? S-sit- sit down? 
Dobby,"Oh, oh, ho. Oh, ho, ho... Oh, ho, ho."
Harry,"Dobby, ssh! I’m sorry! "
Harry,"I didn’t mean to offend you, or anything."
Dobby,Offend Dobby? 
Dobby,"Dobby has heard of your greatness, sir, but never has he been asked to sit down by a wizard, like an equal."
Harry,You can’t have met many decent wizards then.
Dobby,"No, I haven’t. "
Dobby,That was an awful thing to say. 
Dobby,Bad Dobby!
Harry,"Stop, Dobby!"
Dobby,Bad Dobby!
Harry,"Dobby, shh!"
Dobby,Baaad Dobby!
Harry,"Dobby, please stop!"
Uncle vernon,"Ohh, don’t mind that! "
Uncle vernon,It’s just the cat.
Dobby,Bad Dobby. 
Dobby,Bad Dobby!
Harry,"Stop! Stop, Dobby. "
Harry,Please be quiet! 
Harry,Are you all right?
Dobby,"Dobby had to punish himself, sir. "
Dobby,"Dobby almost spoke ill of his family, sir."
Harry,Your family?
Dobby,"The wizard family Dobby serves, sir. "
Dobby,Dobby is bound to serve one family forever. 
Dobby,If they ever knew Dobby was here...ooh... 
Dobby,But Dobby had to come. 
Dobby,Dobby has to protect Harry Potter- to warn him. 
Dobby,Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year! 
Dobby,"There is a plot, a plot to make most terrible things happen."
Harry,What terrible things? 
Harry,Who’s plotting them?
Dobby,Ooo... er... can’t... say... argh...
Harry,Ok– I- understand. You can’t- say.
Dobby,"Don’t make me talk, I— Errr..."
Harry,"Dobby! Dobby, put the lamp down."
Dobby,Bad Dobby.
Harry,Give me the lamp! Dobby stop!
Dobby,Let me go!
Harry,"Get in there, and keep quiet!"
Uncle vernon,What the devil are you doing up here?
Harry,I- I was just—
Uncle vernon,You just ruined the punch line of my Japanese golfer joke!
Harry,Sorry.
Uncle vernon,"One more sound, and you’ll wish you’d never been born, boy! "
Uncle vernon,And fix that door!
Harry,"Yes, sir... See why I’ve got to go back? "
Harry,I don’t belong here. 
Harry,"I belong in your world, at Hogwarts. "
Harry,It’s the only place I’ve got friends!
Dobby,Friends who don’t even write to Harry Potter?
Harry,"Well, I expect they’ve... been- hang on- "
Harry,how do you know my friends haven’t been writing to me?
Dobby,Harry Potter mustn’t be angry with Dobby. 
Dobby,"Heh- Dobby hoped, if Harry Potter thought his friends had forgotten him, Harry Potter might not want to go back to school, sir."
Harry,"Give me those, now!"
Dobby,No! Ahh! Ooh...
Harry,"Dobby, get back here!"
Harry,"Dobby, please, no!"
Dobby,Harry Potter must say he’s not going back to school!
Harry,I can’t. Hogwarts is my home!
Dobby,"Then, Dobby must do it, sir, for Harry Potter’s own good. "
Uncle vernon,"...it spread as far as the eye could see, all over the floor of this vast building, and it was this deep. "
Uncle vernon,And one plumber said “Look at all that water.” 
Uncle vernon,"A-and the second plumber said, “Yes, and that’s just the top of it!”"
Uncle vernon,I’m so sorry! It’s my nephew- he’s very disturbed. 
Uncle vernon,Meeting strangers upsets him. 
Uncle vernon,That’s why I kept him upstairs!
Uncle vernon,You’re never going back to that school. 
Uncle vernon,You’re never going to see those freaky friends of yours again. Never!
Ron,"Hi, Harry!"
Harry,Ron! Fred. George. 
Harry,What are you all doing here?
Ron,"Rescuing you, of course. "
Ron,"Now, come on. Get your trunk!..."
Ron,You’d better stand back. Let’s go!
Aunt petunia,Oh!
Uncle vernon,"Now, what the hell’s he doing? Potter!"
Dudley,Dad! What’s going on?
George,"Go, go, go, go!"
Dudley,"Dad, hurry up!"
Ron,Come on.
Fred,Come on.
Ron,"Come on, Harry! Hurry up!"
Uncle vernon,"Petunia, he’s escaping!"
Harry,Ahh- ahh!
Ron,I’ve got you Harry!
Uncle vernon,Come here!
Harry,Let go of me!
Uncle vernon,"Oh no, boy! You and that bloody pigeon aren’t going anywhere!"
Harry,Get off!
Ron,Drive!
Fred,Right.
George,Right!
Uncle vernon,No! No! No! No! Aaaah!
Aunt petunia & dudley,Aaah!
Dudley,Dad!
Uncle vernon,Oh... Damn.
Ron,"By the way, Harry, Happy Birthday!"
Fred,"Come on. Okay, come on. Shh! "
Fred,"Shh! Ok, come on. Shh! Come on."
Ron,Do you think it’d be all right if we had some of this?
George,"Yeah, Mum would never know."
Ron,"It’s not much, but it’s home."
Harry,I think it’s brilliant
Mrs. weasley,Where have you been? 
Mrs. weasley,"Harry, how wonderful to see you dear. "
Mrs. weasley,Beds empty! No note! Car gone!
Mrs. weasley,You could have died! You could have been seen! 
Mrs. weasley,"Of course, I don’t blame you, Harry dear."
Ron,"They were starving him, Mum. "
Ron,There were bars on his window!
Mrs. weasley,"Well, you’d best hope that I don’t put bars on your window, Ronald Weasley!  "
Mrs. weasley,"Come on Harry, time for a spot of breakfast."
Mrs. weasley,Here we are Harry. 
Mrs. weasley,Now tuck in! That’s it. There we go.
Ginny,"Mum- Mummy, have you seen my jumper?"
Mrs. weasley,Yes dear. It was on the cat.
Harry,Hello. W-what did I do?
Ron,Ginny. She’s been talking about you all summer.
Ron, A bit annoying really.
Mr. weasley,"Morning, Weasleys."
"Fred, george, ron","Morning, Dad."
Mrs. weasley,Morning Arthur!
Mr. weasley,What a night. Nine raids. Nine!
Harry,Raids?
Ron,"Dad works in the Ministry of Magic, in the Misuse of Muggle Artifacts Office. "
Ron,"Dad loves Muggles, thinks they’re fascinating."
Mr. weasley,Well now. Aah! And who are you?
Harry,"Oh, sorry sir. I’m Harry, sir, Harry Potter."
Mr. weasley,Good Lord! Are you really? 
Mr. weasley,"Well, Ron’s told us all about you, of course."
Mr. weasley,When did he get here?
Mrs. weasley,This morning. Your sons flew that enchanted car of yours to Surrey and back last night.
Mr. weasley,Did you really? How’d it go? Did you—
"Fred, george, ron, harry","Oh, it..."
Mrs. weasley,Arthur!
Mr. weasley,"I mean...that was very wrong, indeed, boys. "
Mr. weasley,Very wrong of you
Mr. weasley,"Now, Harry, you must know all about Muggles. "
Mr. weasley,"Tell me, what exactly is the function of a rubber duck?"
Harry,"Oh, umm..."
Mrs. weasley,"Well, that’ll be Errol with the post. "
Mrs. weasley,"Oh, fetch it will you Percy, please?"
Percy,Errol...
Ron,He’s always doing that.
Percy,"Oh look, it’s our Hogwarts letters. "
Percy,And they’ve sent us Harry’s as well.
Mr. weasley,"Dumbledore must know you’re here, Harry. "
Mr. weasley,"Doesn’t miss a trick, that man."
Mrs. weasley,"Oh, no."
Fred,"This lot won’t come cheap, Mum. "
Fred,The spell books alone are very expensive.
Mrs. weasley,We’ll manage. 
Mrs. weasley,There’s only one place we’re going to get all of this. 
Mrs. weasley,Diagon Alley.
Mrs. weasley,Right.
Mrs. weasley,"Here we are, Harry."
Mrs. weasley,"You go first, dear."
Ron,"But Harry's never traveled by Floo powder before, Mum."
Harry,Floo powder?
Mrs. weasley,"You go first, Ron, so that Harry can see how it's done. Yes."
Mrs. weasley,In you go.
Mrs. weasley,That's it.
Ron,Diagon Alley.
Mrs. weasley,"You see? It's quite easy, dear."
Mrs. weasley,Don't be afraid. Come on.
Mrs. weasley,Come on.
Mrs. weasley,In you go. That's it.
Mrs. weasley,Mind your head.
Mrs. weasley,That's right.
Mrs. weasley,"Now, take your Floo powder."
Mrs. weasley,"That's it, very good."
Mrs. weasley,"Now, don't forget to speak very, very clearly."
Harry,Diagonally.
Mrs. weasley,"What did he say, dear?"
Mr. weasley,Diagonally.
Mrs. weasley,I thought he did.
Mr. borgin,Mr. Malfoy! What a pleasure to see you again. 
Mr. borgin,"If I may, just in today --"
Lucius malfoy,"I'm not buying today, Mr. Borgin."
Lucius malfoy,But selling.
Mr. borgin, Selling?
Lucius malfoy,"You have heard, of course, that the Ministry of Magic is conducting more raids. "
Lucius malfoy,There are even rumors of a new Muggle Protection Act...
Lucius malfoy,I have a few... ah... items at home that might prove embarrassing if the Ministry were to call.
Lucius malfoy,Certain poisons and the like...
Mr. borgin,Hmmm... yes. I see...
Draco,Can I have this?
Mr. borgin,"Ah, the Hand of Glory. "
Mr. borgin,Insert a candle and it gives light only to the holder. 
Mr. borgin,Best friend of thieves and plunderers. 
Mr. borgin,"Your son has fine taste, sir."
Lucius malfoy," Hopefully my son will amount to more than a thief, Mr. Borgin."
Lucius malfoy,Though if his marks don't pick up --
Draco, It's not my fault the teachers have favorites. 
Draco,That Hermione Granger --
Lucius malfoy,I would have thought you'd be ashamed that a girl of no wizarding family beat you in every exam.
Mr. borgin,It's the same all over. 
Mr. borgin,Wizard blood is counting for less everywhere.
Lucius malfoy,Not with me.
Lucius malfoy,Very good. 
Lucius malfoy,I'll expect you at the manor tomorrow. 
Lucius malfoy,"Come, Draco."
Witch,"Not lost, are you, my dear?"
Harry,"I'm fine, thank you. I was just going..."
Witch,Come with us. 
Witch,We'll help you find your way back.
Harry, No. Please...
Hagrid, Harry?
Harry,Hagrid!
Hagrid,What do you think you're doing down here? Come on.
Hagrid,"You're a mess, Harry. "
Hagrid,Skulking around Knockturn Alley? 
Hagrid,Dodgy place.
Hagrid,Don't want no one to see you there.
Hagrid,People will think you're up to no good.
Harry,"I was lost, I..."
Harry,Hang on.
Harry,What were you doing down there then?
Hagrid,Me? I was... 
Hagrid,I was looking for Flesh-Eating Slug Repellent.
Hagrid,They're ruining all the school cabbages.
Hermione,Harry. Hagrid.
Hagrid,"Hello, Hermione."
Hermione,It's so good to see you.
Harry,It's great to see you too.
Hermione,What did you do to your glasses?
Hermione,Oculus Reparo.
Harry,I definitely need to remember that one.
Hagrid,"You'll be all right now then, Harry?"
Hagrid,Right. I'll leave you to it.
Hermione,"Okay, bye."
Harry,Thank you. Bye.
Hermione,"Come on, everyone's been so worried."
Mrs. weasley,Harry.
Mrs. weasley,Thank goodness.
Mrs. weasley,We'd hoped you'd only gone one grate too far.
Man,"Ladies and gentlemen, Mr. Gilderoy Lockhart."
Mrs. weasley,"Ohh, Here he is."
Ron,Mum fancies him.
Photographer,"Make way there, please."
Photographer,"Let me by, madam. Thank you."
Photographer,"Excuse me, little girl."
Photographer,This is for the Daily Prophet.
Lockhart,It can't be. Harry Potter?
Photographer,Harry Potter!
Photographer,"Excuse me, madam."
Lockhart,"Nice big smile, Harry."
Lockhart,"Together, you and I rate the front page."
Lockhart,"Ladies and gentlemen, what an extraordinary moment this is."
Lockhart,"When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography, Magical Me…"
Lockhart,"which, incidentally, is currently celebrating its 27th week atop the Daily Prophet bestseller list"
Lockhart,"he had no idea that he would, in fact, be leaving with my entire collected works free of charge."
Lockhart,"Now, ladies?"
Mrs. weasley,"Harry, now you give me those, and I'll get them signed."
Mrs. weasley,All of you wait outside.
Mrs. weasley,That's it Ron.
Draco,"I'll bet you loved that, didn't you, Potter?"
Draco,Famous Harry Potter.
Draco,Can't go into a bookshop without making the front page.
Ginny,Leave him alone.
Draco,"Look, Potter."
Draco,You've got yourself a girlfriend.
Lucius malfoy,"Now, now, Draco, play nicely."
Lucius malfoy,Mr. Potter.
Lucius malfoy,Lucius Malfoy. We meet at last.
Lucius malfoy,Forgive me.
Lucius malfoy,Your scar is legend.
Lucius malfoy,"As, of course, is the wizard who gave it to you."
Harry,Voldemort killed my parents.
Harry,He was nothing more than a murderer.
Lucius malfoy,You must be very brave to mention his name.
Lucius malfoy,Or very foolish.
Hermione,Fear of a name only increases fear of the thing itself.
Lucius malfoy,And you must be Miss Granger.
Lucius malfoy,"Yes, Draco has told me all about you. "
Lucius malfoy,And your parents.
Lucius malfoy,"Muggles, aren't they?"
Lucius malfoy,Let me see.
Lucius malfoy,"Red hair, vacant expressions tatty, secondhand book."
Lucius malfoy,You must be the Weasleys.
Mr. weasley,"Children, It's mad in here."
Mr. weasley,Let's go outside.
Lucius malfoy,"Well, well, well. Weasley senior."
Mr. weasley,Lucius.
Lucius malfoy,"Busy time at the Ministry, Arthur, all those extra raids?"
Lucius malfoy,"I do hope they're paying you overtime but judging by the state of this, I'd say not."
Lucius malfoy,What's the use in being a disgrace to the name of wizard if they don't even pay you well for it?
Mr. weasley,"We have a very different idea about what disgraces the name of wizard, Malfoy."
Lucius malfoy,Clearly.
Lucius malfoy,Associating with Muggles.
Lucius malfoy,And I thought your family could sink no lower.
Lucius malfoy,I'll see you at work.
Draco,See you at school.
Mr. weasley,"10:58, come on."
Mrs. weasley,The train will be leaving any moment.
Mrs. weasley,Oh dear! The train'll be leaving any moment! 
Mr. weasley,"Fred, George, Percy, you first."
Mrs. weasley,Okay.
Mr. weasley,"After you, dear."
Mrs. weasley,"Come on, Ginny, we'll get you a seat. Hurry."
Harry,Let's go.
Trainmaster,What do you two think you're doing?
Harry,Sorry.
Harry,Lost control of the trolley.
Harry,Why can't we get through?
Ron,I don't know.
Ron,The gateway has sealed itself for some reason.
Harry,The train leaves at exactly 11:00.
Harry,We've missed it.
Ron,"Harry, if we can't get through maybe Mum and Dad can't get back."
Harry,Maybe we should just go and wait by the car.
Ron,The car.
Harry,"Ron, I should tell you most Muggles aren't accustomed to seeing a flying car."
Ron,"Aaa, Right."
Ron,"Oh, no! The Invisibility Booster must be faulty."
Harry,"Come on, then. Let's go lower."
Harry,We need to find the train.
Ron,Okay.
Harry,All we need to do is catch up with the train.
Ron,We can't be far behind.
Harry,Do you hear that?
Ron,We must be getting close.
Harry,Hold on.
Harry and ron,Aaaaaaahhhh!
Ron,Haaaarryyy!
Ron,Hold oonnn!!!
Ron,Take my hand!
Ron,Hold on!
Harry,I'm trying. Your hand's all sweaty.
Harry,I think we found the train.
Ron,Yeah.
Ron,Welcome home.
Harry,Up! Up!
Ron,It's not working!
Harry,"Up! Ron, mind that tree!"
Harry and ron,Aaahhh! Aaah!
Ron,Stop! Stop! Stop!
Ron,My wand. Look at my wand.
Harry,Be thankful it's not your neck.
Ron,What's happening?
Harry,I don't know.
Harry,"Come on, go! Fast!"
Ron,"Scabbers, you're okay."
Ron,The caaaar!
Ron,Dad's gonna kill me.
Harry,"See you, Hedwig."
Harry,So a house-elf shows up in my bedroom we can't get through the barrier to platform 93/4...
Harry,we almost get killed by a tree...
Harry,Clearly someone doesn't want me here this year.
Filch,"Well, take a good look, lads."
Filch,This night might well be the last you spend in this castle.
Filch,"Oh, dear, we are in trouble."
Snape,You were seen by no less than seven Muggles.
Snape,Do you have any idea how serious this is?
Snape,You have risked the exposure of our world.
Snape,Not to mention the damage you inflicted on a Whomping Willow.
